id,status,category,source,lane,priority,dependency_group,frame_id,task_domain,task_pass,executor,name,elapsed_ms,budget_ms,frame_budget_ms,load,load_percent,over_budget,exceeded_frame_budget,gpu_wait_ms,wait_reason,scheduled,blocked,polling,waited_on_gpu,stayed_async,async_mode,started_unix_ms,ended_unix_ms,payload_bytes,output_bytes,service_id,method,plugin_id,gateway,error,detail
host.plugin_load.5,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/aurelia-ui-0.5.12-release.dll,2.655800,16.670000,,0.159316,15.932,false,false,,,true,false,false,false,false,,1787314756953.000,1787314756956.000,,,,,,,,plugin loaded in 1 ms
host.plugin_load.6,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/constellation-ecs-0.1.5-release.dll,3.392000,16.670000,,0.203479,20.348,false,false,,,true,false,false,false,false,,1787314756957.000,1787314756960.000,,,,,,,,plugin loaded in 1 ms
host.plugin_load.7,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/editor-runtime-0.3.0-release.dll,3.115300,16.670000,,0.186881,18.688,false,false,,,true,false,false,false,false,,1787314756960.000,1787314756963.000,,,,,,,,plugin loaded in 1 ms
host.plugin_load.8,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/egui-ui-0.1.0-release.dll,2.370500,16.670000,,0.142202,14.220,false,false,,,true,false,false,false,false,,1787314756964.000,1787314756966.000,,,,,,,,plugin loaded in 0 ms
host.plugin_load.9,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/fps-game-0.1.0-release.dll,4.266200,16.670000,,0.255921,25.592,false,false,,,true,false,false,false,false,,1787314756967.000,1787314756971.000,,,,,,,,plugin loaded in 2 ms
host.plugin_load.10,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gameReady-runtime-0.1.0-release.dll,3.202800,16.670000,,0.192130,19.213,false,false,,,true,false,false,false,false,,1787314756972.000,1787314756975.000,,,,,,,,plugin loaded in 0 ms
host.plugin_load.11,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gravitas-physics-0.3.0-release.dll,4.066000,16.670000,,0.243911,24.391,false,false,,,true,false,false,false,false,,1787314756975.000,1787314756980.000,,,,,,,,plugin loaded in 2 ms
host.plugin_load.12,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/projectBrowser-egui-0.1.0-release.dll,3.421600,16.670000,,0.205255,20.526,false,false,,,true,false,false,false,false,,1787314756980.000,1787314756983.000,,,,,,,,plugin loaded in 1 ms
host.plugin_load.13,completed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/starVault-assetManager-3.5.2-release.dll,8.220000,16.670000,,0.493101,49.310,false,false,,,true,false,false,false,false,,1787314756984.000,1787314756992.000,,,,,,,,plugin loaded in 7 ms
profiler-local-1,completed,event,engine.render.vulkan,unspecified,unspecified,unspecified,,,,,engine.ui.loading.status.v1,0.000000,16.670000,,0.000000,0.000,false,false,,,false,false,false,false,false,,1787314756996.000,1787314756996.000,,,,,,,,Vulkan provider is parsing config and preparing the native surface handshake.
profiler-local-2,completed,event,engine.render.vulkan,unspecified,unspecified,unspecified,,,,,engine.ui.loading.status.v1,0.000000,16.670000,,0.000000,0.000,false,false,,,false,false,false,false,false,,1787314756997.000,1787314756997.000,,,,,,,,"Shader-cache policy, clear color and backend feature flags are known."
renderer.vulkan.bootstrap,failed,renderer,engine.render.vulkan,render-init,unspecified,unspecified,null,null,null,null,Vulkan renderer bootstrap,2.356400,16.670000,,0.141356,14.136,false,false,,,true,false,false,false,false,,1787314756994.000,1787314756997.000,,,,,,,,service not found: engine.platform
profiler-local-3,completed,event,engine.render.vulkan,unspecified,unspecified,unspecified,,,,,engine.ui.loading.status.v1,0.000000,16.670000,,0.000000,0.000,false,false,,,false,false,false,false,false,,1787314756997.000,1787314756997.000,,,,,,,,service not found: engine.platform
host.plugin_load.14,failed,plugin_lifecycle,newengine-plugin-host,plugin,unspecified,unspecified,null,null,null,null,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/vulkan-renderer-0.31.2-release.dll,4.612200,16.670000,,0.276677,27.668,false,false,,,true,false,false,false,false,,1787314756992.000,1787314756997.000,,,,,,,,plugin load failed or was skipped after 4.134 ms
