id,category,source,name,status,start_offset_ms,end_offset_ms,elapsed_ms,budget_ms,load,frame_id,dependency_group,task_domain,task_pass,lane,priority,executor,detail
host.plugin_load.5,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/aurelia-ui-0.5.12-release.dll,completed,1,4,2.655800,16.670000,0.159316,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 1 ms
host.plugin_load.6,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/constellation-ecs-0.1.5-release.dll,completed,5,8,3.392000,16.670000,0.203479,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 1 ms
host.plugin_load.7,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/editor-runtime-0.3.0-release.dll,completed,8,11,3.115300,16.670000,0.186881,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 1 ms
host.plugin_load.8,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/egui-ui-0.1.0-release.dll,completed,12,14,2.370500,16.670000,0.142202,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 0 ms
host.plugin_load.9,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/fps-game-0.1.0-release.dll,completed,15,19,4.266200,16.670000,0.255921,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 2 ms
host.plugin_load.10,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gameReady-runtime-0.1.0-release.dll,completed,20,23,3.202800,16.670000,0.192130,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 0 ms
host.plugin_load.11,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gravitas-physics-0.3.0-release.dll,completed,23,28,4.066000,16.670000,0.243911,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 2 ms
host.plugin_load.12,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/projectBrowser-egui-0.1.0-release.dll,completed,28,31,3.421600,16.670000,0.205255,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 1 ms
host.plugin_load.13,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/starVault-assetManager-3.5.2-release.dll,completed,32,40,8.220000,16.670000,0.493101,null,unspecified,null,null,plugin,unspecified,null,plugin loaded in 7 ms
profiler-local-1,event,engine.render.vulkan,engine.ui.loading.status.v1,completed,44,44,0.000000,16.670000,0.000000,,unspecified,,,unspecified,unspecified,,Vulkan provider is parsing config and preparing the native surface handshake.
profiler-local-2,event,engine.render.vulkan,engine.ui.loading.status.v1,completed,45,45,0.000000,16.670000,0.000000,,unspecified,,,unspecified,unspecified,,"Shader-cache policy, clear color and backend feature flags are known."
renderer.vulkan.bootstrap,renderer,engine.render.vulkan,Vulkan renderer bootstrap,failed,42,45,2.356400,16.670000,0.141356,null,unspecified,null,null,render-init,unspecified,null,service not found: engine.platform
profiler-local-3,event,engine.render.vulkan,engine.ui.loading.status.v1,completed,45,45,0.000000,16.670000,0.000000,,unspecified,,,unspecified,unspecified,,service not found: engine.platform
host.plugin_load.14,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/vulkan-renderer-0.31.2-release.dll,failed,40,45,4.612200,16.670000,0.276677,null,unspecified,null,null,plugin,unspecified,null,plugin load failed or was skipped after 4.134 ms
