rank,key,category,source,sample_name,count,failed,slow,total_elapsed_ms,total_share_percent,average_elapsed_ms,max_elapsed_ms,max_load,total_payload_bytes,total_output_bytes
1,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/starVault-assetManager-3.5.2-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/starVault-assetManager-3.5.2-release.dll,1,0,0,8.220000,19.722257,8.220000,8.220000,0.493101,0,0
2,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/vulkan-renderer-0.31.2-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/vulkan-renderer-0.31.2-release.dll,1,1,0,4.612200,11.066058,4.612200,4.612200,0.276677,0,0
3,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/fps-game-0.1.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/fps-game-0.1.0-release.dll,1,0,0,4.266200,10.235899,4.266200,4.266200,0.255921,0,0
4,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gravitas-physics-0.3.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gravitas-physics-0.3.0-release.dll,1,0,0,4.066000,9.755559,4.066000,4.066000,0.243911,0,0
5,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/projectBrowser-egui-0.1.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/projectBrowser-egui-0.1.0-release.dll,1,0,0,3.421600,8.209449,3.421600,3.421600,0.205255,0,0
6,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/constellation-ecs-0.1.5-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/constellation-ecs-0.1.5-release.dll,1,0,0,3.392000,8.138430,3.392000,3.392000,0.203479,0,0
7,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gameReady-runtime-0.1.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/gameReady-runtime-0.1.0-release.dll,1,0,0,3.202800,7.684482,3.202800,3.202800,0.192130,0,0
8,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/editor-runtime-0.3.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/editor-runtime-0.3.0-release.dll,1,0,0,3.115300,7.474543,3.115300,3.115300,0.186881,0,0
9,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/aurelia-ui-0.5.12-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/aurelia-ui-0.5.12-release.dll,1,0,0,2.655800,6.372064,2.655800,2.655800,0.159316,0,0
10,newengine-plugin-host:plugin_lifecycle::plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/egui-ui-0.1.0-release.dll,plugin_lifecycle,newengine-plugin-host,plugin_load:C:/Users/Aiden/Documents/Repos/NorthStar/pluginsRuntime/egui-ui-0.1.0-release.dll,1,0,0,2.370500,5.687544,2.370500,2.370500,0.142202,0,0
11,engine.render.vulkan:renderer::Vulkan renderer bootstrap,renderer,engine.render.vulkan,Vulkan renderer bootstrap,1,1,0,2.356400,5.653714,2.356400,2.356400,0.141356,0,0
12,engine.render.vulkan:event::engine.ui.loading.status.v1,event,engine.render.vulkan,engine.ui.loading.status.v1,3,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
